1		 TADEJ POGACAR 		UAE-TEAM-EMIRATES-XRG
2		 ISAAC DEL TORO 		UAE-TEAM-EMIRATES-XRG
3		 FELIX GROSSSCHARTNER 		UAE-TEAM-EMIRATES-XRG
4		 BRANDON MCNULTY 		UAE-TEAM-EMIRATES-XRG
5		 NILS POLITT 		UAE-TEAM-EMIRATES-XRG
6		 FLORIAN VERMEERSCH 		UAE-TEAM-EMIRATES-XRG
7		 TIM WELLENS 		UAE-TEAM-EMIRATES-XRG
8		 ADAM YATES 		UAE-TEAM-EMIRATES-XRG
11		 JONAS VINGEGAARD 		TEAM-VISMA-LEASE-A-BIKE
12		 EDOARDO AFFINI 		TEAM-VISMA-LEASE-A-BIKE
13		 BRUNO ARMIRAIL 		TEAM-VISMA-LEASE-A-BIKE
14		 VICTOR CAMPENAERTS 		TEAM-VISMA-LEASE-A-BIKE
15		 PER STRAND HAGENES 		TEAM-VISMA-LEASE-A-BIKE
16		 MATTEO JORGENSON 		TEAM-VISMA-LEASE-A-BIKE
17		 SEPP KUSS 		TEAM-VISMA-LEASE-A-BIKE
18		 DAVIDE PIGANZOLI 		TEAM-VISMA-LEASE-A-BIKE
21		 REMCO EVENEPOEL 		RED-BULL-BORA-HANSGROHE
22		 MATTIA CATTANEO 		RED-BULL-BORA-HANSGROHE
23		 NICO DENZ 		RED-BULL-BORA-HANSGROHE
24		 JAI HINDLEY 		RED-BULL-BORA-HANSGROHE
25		 FLORIAN LIPOWITZ 		RED-BULL-BORA-HANSGROHE
26		 JAN TRATNIK 		RED-BULL-BORA-HANSGROHE
27		 TIM VAN DIJKE 		RED-BULL-BORA-HANSGROHE
28		 MAXIM VAN GILS 		RED-BULL-BORA-HANSGROHE
31		 JUAN AYUSO 		LIDL-TREK
32		 DEREK JAMES GEE 		LIDL-TREK
33		 MADS PEDERSEN 		LIDL-TREK
34		 QUINN SIMMONS 		LIDL-TREK
35		 MATTIAS SKJELMOSE 		LIDL-TREK
36		 TOMS SKUJINS 		LIDL-TREK
37		 MATHIAS VACEK 		LIDL-TREK
38		 CARLOS VERONA 		LIDL-TREK
41		 RICHARD CARAPAZ 		EF-EDUCATION-EASYPOST
42		 KASPER ASGREEN 		EF-EDUCATION-EASYPOST
43		 ALEX BAUDIN 		EF-EDUCATION-EASYPOST
44		 BEN HEALY 		EF-EDUCATION-EASYPOST
45		 SEAN QUINN 		EF-EDUCATION-EASYPOST
46		 GEORG STEINHAUSER 		EF-EDUCATION-EASYPOST
47		 MICHAEL VALGREN 		EF-EDUCATION-EASYPOST
48		 MAX WALKER 		EF-EDUCATION-EASYPOST
51		 PAUL SEIXAS 		DECATHLON-CMA-CGM-TEAM
52		 TIESJ BENOOT 		DECATHLON-CMA-CGM-TEAM
53		 CEES BOL 		DECATHLON-CMA-CGM-TEAM
54		 DAAN HOOLE 		DECATHLON-CMA-CGM-TEAM
55		 OLAV KOOIJ 		DECATHLON-CMA-CGM-TEAM
56		 AURÉLIEN PARET PEINTRE 		DECATHLON-CMA-CGM-TEAM
57		 NICOLAS PRODHOMME 		DECATHLON-CMA-CGM-TEAM
58		 MATTHEW RICCITELLO 		DECATHLON-CMA-CGM-TEAM
61		 SERGIO HIGUITA 		XDS-ASTANA-TEAM
62		 DAVIDE BALLERINI 		XDS-ASTANA-TEAM
63		 AARON MURRAY GATE 		XDS-ASTANA-TEAM
64		 MAX KANTER 		XDS-ASTANA-TEAM
65		 HAROLD TEJADA 		XDS-ASTANA-TEAM
66		 MIKE TEUNISSEN 		XDS-ASTANA-TEAM
67		 SIMONE VELASCO 		XDS-ASTANA-TEAM
68		 NICOLYA VINOKUROV 		XDS-ASTANA-TEAM
71		 LENNY MARTINEZ 		BAHRAIN-VICTORIOUS
72		 PHIL BAUHAUS 		BAHRAIN-VICTORIOUS
73		 DAMIANO CARUSO 		BAHRAIN-VICTORIOUS
74		 KAMIL GRADEK 		BAHRAIN-VICTORIOUS
75		 MATEJ MOHORIC 		BAHRAIN-VICTORIOUS
76		 ROBERT STANNARD 		BAHRAIN-VICTORIOUS
77		 ANTONIO TIBERI 		BAHRAIN-VICTORIOUS
78		 VLAD VAN MECHELEN 		BAHRAIN-VICTORIOUS
81		 EGAN BERNAL 		NETCOMPANY-INEOS-CYCLING-TEAM
82		 THYMEN ARENSMAN 		NETCOMPANY-INEOS-CYCLING-TEAM
83		 TOBIAS FOSS 		NETCOMPANY-INEOS-CYCLING-TEAM
84		 FILIPPO GANNA 		NETCOMPANY-INEOS-CYCLING-TEAM
85		 DORIAN GODON 		NETCOMPANY-INEOS-CYCLING-TEAM
86		 MICHAL KWIATKOWSKI 		NETCOMPANY-INEOS-CYCLING-TEAM
87		 JOSHUA TARLING 		NETCOMPANY-INEOS-CYCLING-TEAM
88		 KÉVIN VAUQUELIN 		NETCOMPANY-INEOS-CYCLING-TEAM
91		 TIM MERLIER 		SOUDAL-QUICK-STEP
92		 PASCAL EENKHOORN 		SOUDAL-QUICK-STEP
93		 VALENTIN PARET PEINTRE 		SOUDAL-QUICK-STEP
94		 JASPER STUYVEN 		SOUDAL-QUICK-STEP
95		 DYLAN VAN BAARLE 		SOUDAL-QUICK-STEP
96		 BERT VAN LERBERGHE 		SOUDAL-QUICK-STEP
97		 ILAN VAN WILDER 		SOUDAL-QUICK-STEP
98		 LOUIS VERVAEKE 		SOUDAL-QUICK-STEP
101		 MATHIEU VAN DER POEL 		ALPECIN-PREMIER-TECH
102		 RAMSES DEBRUYNE 		ALPECIN-PREMIER-TECH
103		 SILVAN DILLIER 		ALPECIN-PREMIER-TECH
104		 TIM MARSMAN 		ALPECIN-PREMIER-TECH
105		 JASPER PHILIPSEN 		ALPECIN-PREMIER-TECH
106		 EDWARD PLANCKAERT 		ALPECIN-PREMIER-TECH
107		 JONAS RICKAERT 		ALPECIN-PREMIER-TECH
108		 EMIEL VERSTRYNGE 		ALPECIN-PREMIER-TECH
111		 BEN O'CONNOR 		TEAM-JAYCO-ALULA
112		 PASCAL ACKERMANN 		TEAM-JAYCO-ALULA
113		 LUKE DURBRIDGE 		TEAM-JAYCO-ALULA
114		 FELIX ENGELHARDT 		TEAM-JAYCO-ALULA
115		 MICHAEL MATTHEWS 		TEAM-JAYCO-ALULA
116		 KELLAND O’BRIEN 		TEAM-JAYCO-ALULA
117		 LUKE PLAPP 		TEAM-JAYCO-ALULA
118		 MAURO SCHMID 		TEAM-JAYCO-ALULA
121		 TOBIAS JOHANNESSEN 		UNO-X-MOBILITY
122		 JONAS ABRAHAMSEN 		UNO-X-MOBILITY
123		 ANTHON CHARMIG 		UNO-X-MOBILITY
